Unnamed: 0,Error,Épocas,Clase
174,0.0840749740600586,28,"Train error on d1: 0, d2: 0.5"
175,0.2990000247955322,28,"Validation error on d1: 0, d2: 0.5"
176,0.0801249742507934,29,"Train error on d1: 0, d2: 0.5"
177,0.3062999844551086,29,"Validation error on d1: 0, d2: 0.5"
178,0.0767499804496765,30,"Train error on d1: 0, d2: 0.5"
179,0.2914000153541565,30,"Validation error on d1: 0, d2: 0.5"
0,0.5638499855995178,1,"Train error on d1: 0.2, d2: 0"
1,0.4383999705314636,1,"Validation error on d1: 0.2, d2: 0"
2,0.4033750295639038,2,"Train error on d1: 0.2, d2: 0"
3,0.3666999936103821,2,"Validation error on d1: 0.2, d2: 0"
4,0.3389750123023987,3,"Train error on d1: 0.2, d2: 0"
5,0.3155000209808349,3,"Validation error on d1: 0.2, d2: 0"
6,0.2989000082015991,4,"Train error on d1: 0.2, d2: 0"
7,0.3055999875068664,4,"Validation error on d1: 0.2, d2: 0"
8,0.2689250111579895,5,"Train error on d1: 0.2, d2: 0"
9,0.2944999933242798,5,"Validation error on d1: 0.2, d2: 0"
10,0.2473999857902526,6,"Train error on d1: 0.2, d2: 0"
11,0.296999990940094,6,"Validation error on d1: 0.2, d2: 0"
12,0.2206000089645385,7,"Train error on d1: 0.2, d2: 0"
13,0.2833999991416931,7,"Validation error on d1: 0.2, d2: 0"
14,0.2059749960899353,8,"Train error on d1: 0.2, d2: 0"
15,0.2731000185012817,8,"Validation error on d1: 0.2, d2: 0"
16,0.1921499967575073,9,"Train error on d1: 0.2, d2: 0"
17,0.2908999919891357,9,"Validation error on d1: 0.2, d2: 0"
18,0.1811749935150146,10,"Train error on d1: 0.2, d2: 0"
19,0.2882000207901001,10,"Validation error on d1: 0.2, d2: 0"
20,0.168250024318695,11,"Train error on d1: 0.2, d2: 0"
21,0.2802000045776367,11,"Validation error on d1: 0.2, d2: 0"
22,0.1613249778747558,12,"Train error on d1: 0.2, d2: 0"
23,0.265999972820282,12,"Validation error on d1: 0.2, d2: 0"
24,0.1459249854087829,13,"Train error on d1: 0.2, d2: 0"
25,0.2750999927520752,13,"Validation error on d1: 0.2, d2: 0"
26,0.1357750296592712,14,"Train error on d1: 0.2, d2: 0"
27,0.2764999866485595,14,"Validation error on d1: 0.2, d2: 0"
28,0.1261749863624572,15,"Train error on d1: 0.2, d2: 0"
29,0.2824000120162964,15,"Validation error on d1: 0.2, d2: 0"
30,0.1217250227928161,16,"Train error on d1: 0.2, d2: 0"
31,0.2678999900817871,16,"Validation error on d1: 0.2, d2: 0"
32,0.1147000193595886,17,"Train error on d1: 0.2, d2: 0"
