Error,Épocas,Clase
0.4,34200, Validation error
0.30000000000000004,34200,Test error
0.3375,34400,Train error
0.4,34400, Validation error
0.30000000000000004,34400,Test error
0.3375,34600,Train error
0.4,34600, Validation error
0.30000000000000004,34600,Test error
0.3125,34800,Train error
0.44999999999999996,34800, Validation error
0.31999999999999995,34800,Test error
0.3125,35000,Train error
0.44999999999999996,35000, Validation error
0.31999999999999995,35000,Test error
0.3375,35200,Train error
0.4,35200, Validation error
0.30000000000000004,35200,Test error
0.3125,35400,Train error
0.44999999999999996,35400, Validation error
0.31999999999999995,35400,Test error
0.3125,35600,Train error
0.44999999999999996,35600, Validation error
0.31999999999999995,35600,Test error
0.3125,35800,Train error
0.44999999999999996,35800, Validation error
0.31999999999999995,35800,Test error
0.3125,36000,Train error
0.44999999999999996,36000, Validation error
0.31999999999999995,36000,Test error
0.3375,36200,Train error
0.4,36200, Validation error
0.30000000000000004,36200,Test error
0.3125,36400,Train error
0.44999999999999996,36400, Validation error
0.31999999999999995,36400,Test error
0.3375,36600,Train error
0.4,36600, Validation error
0.30000000000000004,36600,Test error
0.3375,36800,Train error
0.4,36800, Validation error
0.30000000000000004,36800,Test error
0.3375,37000,Train error
0.4,37000, Validation error
0.30000000000000004,37000,Test error
0.3125,37200,Train error
0.44999999999999996,37200, Validation error
0.31999999999999995,37200,Test error
0.3375,37400,Train error
0.4,37400, Validation error
0.30000000000000004,37400,Test error
0.3375,37600,Train error
0.4,37600, Validation error
0.30000000000000004,37600,Test error
0.3125,37800,Train error
0.44999999999999996,37800, Validation error
0.31999999999999995,37800,Test error
0.3125,38000,Train error
0.44999999999999996,38000, Validation error
0.31999999999999995,38000,Test error
0.3125,38200,Train error
0.44999999999999996,38200, Validation error
0.31999999999999995,38200,Test error
0.3375,38400,Train error
0.4,38400, Validation error
0.30000000000000004,38400,Test error
0.3375,38600,Train error
0.4,38600, Validation error
0.30000000000000004,38600,Test error
0.3125,38800,Train error
0.44999999999999996,38800, Validation error
0.31999999999999995,38800,Test error
0.3125,39000,Train error
0.44999999999999996,39000, Validation error
0.31999999999999995,39000,Test error
0.3125,39200,Train error
0.44999999999999996,39200, Validation error
0.31999999999999995,39200,Test error
0.3125,39400,Train error
0.44999999999999996,39400, Validation error
0.31999999999999995,39400,Test error
0.3125,39600,Train error
0.44999999999999996,39600, Validation error
0.31999999999999995,39600,Test error
0.3375,39800,Train error
0.4,39800, Validation error
0.30000000000000004,39800,Test error
0.3125,40000,Train error
0.44999999999999996,40000, Validation error
0.31999999999999995,40000,Test error
0.3375,40200,Train error
0.4,40200, Validation error
0.30000000000000004,40200,Test error
0.3375,40400,Train error
0.4,40400, Validation error
0.30000000000000004,40400,Test error
0.3375,40600,Train error
0.4,40600, Validation error
0.30000000000000004,40600,Test error
0.3375,40800,Train error
